Title,Author,ISBN,Pages,Subject
"Chemical, Biochemical, and Engineering Thermodynamics",Stanley I. Sandler,9780471661740,960,ChE
Unit Operations of Chemical Engineering,Warren Lee McCabe,9780072848236,1140,ChE
Product and Process Design Principles,Warren D. Seider,9780470048955,736,ChE
Process Dynamics and Control,Dale E. Seborg,9780470128671,514,ChE
Plant Design and Economics for Chemical Engineers,Max Peters,9780072392661,988,ChE
Air Pollution Control Engineering,Noel De Nevers,9781478629054,598,ChE
Essentials of Polymer Science and Engineering,Paul C. Painter,9781932078756,525,ChE
Design and Analysis of Experiments,Douglas C. Montgomery,9781118146927,752,ChE
Turbulence,Peter Davidson,9780198722595,656,ChE
Turbulent Flows,S. B. Pope,9780521598866,771,ChE
An Introduction to Mass and Heat Transfer,Stanley Middleman,9780471111764,672,ChE
Essential Thermodynamics,Athanassios Z. Panagiotopoulos,9781451564945,272,ChE
Elements of Chemical Reaction Engineering,H. Scott Fogler,9780133887518,992,ChE
Fluid Mechanics for Chemical Engineers with Microfluidics and CFD.,James O. Wilkes,9780131482128,755,ChE
Introduction to chemical engineering thermodynamics,Joseph Mauk Smith,9780073104454,817,ChE
Statistical mechanics for engineers,Isamu Kusaka,9783319138091,,ChE
The properties of gases and liquids,Bruce E. Poling,9780070116825,768,ChE
Analysis of Transport Phenomena,William Murray Deen,9780199740284,664,ChE
An Introduction to Applied Statistical Thermodynamics,Stanley I. Sandler,9780470913475,372,ChE
Inorganic Chemistry,Duward Shriver,9781429299060,830,Chemistry
Solutions Manual for Inorganic Chemistry,Alen Hadzovic,9781464124389,300,Chemistry
Physical Chemistry,Peter Atkins,9781429290197,1060,Chemistry
Problems and Solutions,Heather A. Cox,9780935702996,956,Chemistry
"Problems and Solutions to Accompany McQuarrie and Simon, Physical Chemistry: a Molecular Approach",Heather Cox,9780935702439,956,Chemistry
An Introduction to Combustion: Concepts and Applications,Stephen Turns,9780073380193,752,Chemistry
Organotransition Metal Chemistry,John Frederick Hartwig,9781891389535,1127,Chemistry
Student Solutions Manual for Modern Physical Organic Chemistry,Michael B. Sponsler,9781891389313,349,Chemistry
Advanced organic chemistry,Francis A. Carey,9780387683461,,Chemistry
Advanced Organic Chemistry,Francis A. Carey,9780387683546,1322,Chemistry
Strategic applications of named reactions in organic synthesis,László Kürti,9780124297852,758,Chemistry
Statistical Mechanics,Donald Allan McQuarrie,9781891389153,641,Chemistry
Quantum Computation and Quantum Information,Michael A. Nielsen,9781107002173,702,CSE
Nonlinear Programming,Dimitri P. Bertsekas,9781886529052,859,CSE
Introduction to Algorithms,Thomas H. Cormen,9780262033848,1292,CSE
Pattern Recognition and Machine Learning,Christopher M. Bishop,9780387310732,738,CSE
Neural Networks for Pattern Recognition,Christopher M. Bishop,9780198538646,482,CSE
"Hacking, 2nd Edition",Jon Erickson,9781593271442,488,CSE
Penetration Testing,Georgia Weidman,9781593275648,528,CSE
Rtfm,Ben Clark,9781494295509,96,CSE
Hash Crack,Joshua Picolet,9781540444967,82,CSE
Blue Team Field Manual,Alan White,9781541016361,144,CSE
Deep Learning,Ian Goodfellow,9780262035613,800,CSE
Make Your Own Neural Network,Tariq Rashid,9781530826605,222,CSE
Engineering a Compiler,Keith Daniel Cooper,9780120884780,800,CSE
Writing Compilers and Interpreters,Ronald Mak,9780470177075,864,CSE
Modern Compiler Design,Dick Grune,9781461446989,822,CSE
Algorithms,Robert Sedgewick,9780321573513,,CSE
Computer Networks,Larry L. Peterson,9780123850591,884,CSE
Operating Systems,Thomas Anderson,9780985673529,669,CSE
Language Implementation Patterns,Terence Parr,9781934356456,374,CSE
The Algorithm Design Manual,Steven S. Skiena,9781848000698,730,CSE
Fabrication Engineering at the Micro- and Nanoscale,Stephen A. Campbell,9780199861224,671,ECE
Power electronics,Ned Mohan,9780471226932,802,ECE
"Wireless Receiver Design for Digital Communications, 2nd Edn",Kevin McClaning,9781891121807,758,ECE
"CMOS circuit design, layout, and simulation",R. Jacob Baker,9780470881323,,ECE
Analog Integrated Circuit Design,Tony Chan Carusone,9780470770108,794,ECE
Digital integrated circuits: a design perspective,Jan M. Rabaey,9780130909961,,ECE
Microwave Engineering,David M. Pozar,9780470631553,732,ECE
Radiowave Propagation,Curt Levis,9780470542958,301,ECE
Fundamentals of Digital Communication,Upamanyu Madhow,9780521874144,518,ECE
Digital Communications,Massoud Salehi,9780072957167,1168,ECE
Modern control systems,Richard C. Dorf,9780134407623,,ECE
Signals and Systems,Alan V. Oppenheim,9780138147570,957,ECE
Electric Energy,Mohamed A. El-Sharkawi,9781466503038,606,ECE
Solid State Electronic Devices,Ben G. Streetman,9780133356038,596,ECE
Microelectronic Circuits,Adel S. Sedra,9780199339136,1488,ECE
Fundamentals of Applied Electromagnetics,Fawwaz T. Ulaby,9780133356816,528,ECE
MSP430 microcontroller basics,John H. Davies,9780750682763,,ECE
Principles and applications of electrical engineering,Giorgio Rizzoni,9780073529592,,ECE
Digital Signal Processing,John G. Proakis,9780131873742,1084,ECE
Electromechanical Motion Devices,Paul C. Krause,9781118296127,544,ECE
Fundamentals of Power Electronics,Robert W. Erickson,9780792372707,883,ECE
Fundamentals of Optical Waveguides,Katsunari Okamoto,9780125250962,561,ECE
Fundamentals of Photonics,Bahaa E. A. Saleh,9780471358329,1200,ECE
Introduction to Modern Optics,Grant R. Fowles,9780486659572,328,ECE
Antenna Theory,Constantine A. Balanis,9781118642061,1096,ECE
"Memory systems: cache, DRAM, disk",Bruce Jacob,9780123797513,,ECE
Logic and Computer Design Fundamentals,M. Morris Mano,9780133760637,672,ECE
Fundamentals of Electric Circuits,Charles Alexander,9780078028229,992,ECE
Parallel Computer Architecture,David E. Culler,9781558603431,1025,ECE
Modern Processor Design,John Paul Shen,9781478607830,642,ECE
Computer Architecture,John L. Hennessy,9780123838728,493,ECE
Computer Organization and Design,David A. Patterson,9780124077263,575,ECE
Computer Architecture,Behrooz Parhami,9780195154559,575,ECE
Nonlinear RF Circuits and Nonlinear Vector Network Analyzers,Patrick Roblin,9780521889957,283,ECE
Introduction to Electromagnetic Compatibility,Clayton R. Paul,9780471755005,1016,ECE
Fundamentals of Wireless Communication,David Tse,9780521845274,564,ECE
Nonlinear Systems,Hassan K. Khalil,9780130673893,750,ECE
Nonlinear optics,Robert W. Boyd,9780123694706,,ECE
Advanced Engineering Electromagnetics,Constantine A. Balanis,9780470589489,1018,ECE
The Physics of Low-dimensional Semiconductors,John H. Davies,9780521484916,438,ECE
Introduction to Robotics,John J. Craig,9780133489798,448,ECE
"VHDL:Modular Design and Synthesis of Cores and Systems, Third Edition",Zainalabedin Navabi,9780071475457,531,ECE
Computer Vision,David Forsyth,9780136085928,761,ECE
Computer organization and embedded systems,V. Carl Hamacher,9780073380650,,ECE
Discrete-time signal processing,Alan V. Oppenheim,9780131988422,,ECE
Power Systems Analysis,Arthur R. Bergen,9780136919902,619,ECE
Lasers,A. E. Siegman,9780935702118,,ECE
Computational Complexity,Sanjeev Arora,9780521424264,579,ECE
Digital Control Engineering,M. Sami Fadali,9780123943910,582,ECE
Foundations of Analog and Digital Electronic Circuits,Anant Agarwal,9781558607354,984,ECE
The Physics of Solar Cells,Jenny Nelson,9781860943492,363,ECE
Principles of Modern Radar,Mark A. Richards,9781891121524,924,ECE
Analog Circuit Design,Johan H. Huijsing,9780132543354,413,ECE
Basic Economics,Thomas Sowell,9780465060733,704,Economics
Introduction to Modern Economic Growth,Daron Acemoglu,9780691132921,990,Economics
Modern Principles: Macroeconomics,Tyler Cowen,9781429278409,,Economics
Macroeconomics,N. Gregory Mankiw,9781429218870,598,Economics
Advanced Macroeconomics,David Romer,9780073511375,736,Economics
Microeconomic Theory,Andreu Mas-Colell,9780195073409,981,Economics
Principles of Economics,N. Gregory Mankiw,9781305585126,888,Economics
The Oil Curse,Michael L. Ross,9780691159638,289,Economics
Capital Vol 1,Karl Marx,9780140445688,1152,Economics
Capital,Karl Marx,9780140445695,624,Economics
Capital,Karl Marx,9780140445701,1088,Economics
The Mystery Of Capital: Why Capitalism Triumphs In The West And Fails Everywhere Else,Hernando de Soto,9780465016150,,Economics
The Second Sex,Simone de Beauvoir,9780307277787,800,FemLit
The history of sexuality,Michel Foucault,9780679724698,,FemLit
"The History of Sexuality, Vol. 3",Michel Foucault,9780394741550,279,FemLit
The history of sexuality,Michel Foucault,9780394751221,,FemLit
